extractor,gpt_model,experiment,prompt_strategy,director_model,matcher_model,round,n_rows,n_sessions,accuracy_mean,accuracy_sd,turns_mean,turns_sd,words_mean,words_sd,re_words_mean,re_words_sd,mean_re_length_mean,mean_re_length_sd,relative_lexical_overlap_mean,relative_lexical_overlap_sd,jaccard_lexical_overlap_mean,jaccard_lexical_overlap_sd,extracted_objects_mean,extracted_objects_sd
deterministic,,Cameron-style,cameron-prompt,gpt-5.2,gpt-5.2,1,5,5,100.0,0.0,24.4,0.8944271909999159,549.8,35.73793502708292,225.8,8.757853618324527,18.816666666666666,0.7298211348603771,1.0,0.0,0.0,0.0,12.0,0.0
deterministic,,Cameron-style,cameron-prompt,gpt-5.2,gpt-5.2,2,5,5,93.33333333333333,6.972166887783961,24.0,0.0,480.8,32.43763246601083,183.4,16.272676485446393,15.283333333333333,1.356056373787199,0.265714668530071,0.015789911039527274,0.13743611903223607,0.008042911476289159,12.0,0.0
deterministic,,Cameron-style,cameron-prompt,gpt-5.2,gpt-5.2,3,5,5,85.0,3.726779962499641,26.0,1.4142135623730951,517.2,20.364184245876388,184.8,15.319921670818033,15.4,1.2766601392348356,0.23794556244093182,0.036352824570685914,0.13752403563803628,0.02149468716401261,12.0,0.0
deterministic,,Cameron-style,cameron-prompt,gpt-5.2,gpt-5.2,4,5,5,85.0,12.360330811826106,25.2,1.7888543819998317,457.2,40.145983609820796,158.6,17.02351315093333,13.216666666666667,1.4186260959111106,0.21270797738934993,0.036281012305663586,0.10896184187761186,0.017003142144418865,12.0,0.0
deterministic,,Cameron-style,cameron-prompt,gpt-5.2,gpt-5.2,5,5,5,96.66666666666666,4.5643546458763895,25.2,1.0954451150103321,485.0,35.48943504763072,178.2,9.038805230781334,14.85,0.7532337692317775,0.2119034327990081,0.024863822385712,0.13564441195537597,0.017874325558283968,12.0,0.0
deterministic,,Cameron-style,cameron-prompt,gpt-5.5,gpt-5.5,1,6,6,98.61111111111111,3.4020690871988624,26.333333333333332,1.505545305418162,269.0,32.61901286060018,69.0,9.695359714832659,5.75,0.8079466429027216,1.0,0.0,0.0,0.0,12.0,0.0
deterministic,,Cameron-style,cameron-prompt,gpt-5.5,gpt-5.5,2,6,6,95.83333333333333,10.206207261596575,26.0,0.0,208.0,16.024980499208105,50.833333333333336,5.564770136013406,4.236111111111111,0.46373084466778397,0.287202380952381,0.05642275967437129,0.1373642175725509,0.030263942678131525,12.0,0.0
deterministic,,Cameron-style,cameron-prompt,gpt-5.5,gpt-5.5,3,6,6,88.88888888888889,6.8041381743977105,26.0,0.0,204.16666666666666,9.537644712750977,44.666666666666664,4.1311822359545785,3.7222222222222223,0.3442651863295481,0.1892526455026455,0.06251296371810433,0.10010521885521885,0.03238719077093597,12.0,0.0
deterministic,,Cameron-style,cameron-prompt,gpt-5.5,gpt-5.5,4,6,6,93.05555555555556,6.2731054392423395,25.666666666666668,0.816496580927726,218.66666666666666,37.130400841718185,51.5,6.715653356152326,4.291666666666666,0.5596377796793603,0.06550925925925925,0.02953362629790874,0.0373752405002405,0.01785234453127569,12.0,0.0
deterministic,,Cameron-style,cameron-prompt,gpt-5.5,gpt-5.5,5,6,6,77.77777777777777,12.546210878484688,26.0,1.2649110640673518,204.0,26.578186544608343,42.0,10.079682534683322,3.5,0.8399735445569435,0.1369378306878307,0.02684998657738043,0.07143508497675163,0.012876604920653912,12.0,0.0
