object_category,pair_ix,FirstRoundCardIndex,round_num,rouge-1_f1,rouge-2_f1,rouge-L_f1,sbert_score
baskets,22,Card10,4,0.3999999958,0.0,0.3999999958,0.681111216545105
baskets,20,Card1,1,0.7586206846611178,0.46666666168888893,0.7586206846611178,0.8380650281906128
baskets,20,Card1,2,0.9333333283555556,0.5714285665306124,0.9333333283555556,0.9719746708869934
baskets,20,Card1,3,0.6666666618666668,0.285714281122449,0.6666666618666668,0.9143146276473999
baskets,20,Card1,4,0.999999995,0.0,0.999999995,1.0000001192092896
baskets,20,Card2,1,0.6842105213711912,0.4999999951125001,0.6842105213711912,0.9409694671630859
baskets,20,Card2,2,0.5714285665306124,0.33333332888888895,0.5714285665306124,0.9424699544906616
baskets,20,Card2,3,0.8888888839506174,0.5714285665306124,0.8888888839506174,0.9703454375267029
baskets,20,Card2,4,0.7499999953125,0.33333332888888895,0.7499999953125,0.806881308555603
baskets,20,Card3,1,0.6885245853265252,0.41095889926815543,0.6229508148347219,0.8714732527732849
baskets,20,Card3,2,0.7826086906616257,0.6086956471833649,0.7826086906616257,0.9828631281852722
baskets,20,Card3,3,0.7499999950781251,0.5714285665306124,0.7499999950781251,0.9457471370697021
baskets,20,Card3,4,0.999999995,0.999999995,0.999999995,1.0
baskets,20,Card4,1,0.7727272677376034,0.4680851013852422,0.7272727222830578,0.8943880200386047
baskets,20,Card4,2,0.999999995,0.999999995,0.999999995,1.000000238418579
baskets,20,Card4,3,0.49999999531250006,0.33333332888888895,0.49999999531250006,0.7934188842773438
baskets,20,Card4,4,0.6666666618055556,0.39999999520000007,0.6666666618055556,0.9745194315910339
baskets,20,Card5,1,0.38095237605442184,0.09523809034013632,0.38095237605442184,0.7388439178466797
baskets,20,Card5,2,0.39999999520000007,0.0,0.39999999520000007,0.8853939771652222
baskets,20,Card5,3,0.36363635900826446,0.0,0.36363635900826446,0.746843695640564
baskets,20,Card5,4,0.999999995,0.999999995,0.999999995,1.0000001192092896
baskets,20,Card6,1,0.5384615335798818,0.31999999520000005,0.5384615335798818,0.9234648942947388
baskets,20,Card6,2,0.36363635867768596,0.1999999952000001,0.36363635867768596,0.8152675628662109
baskets,20,Card6,3,0.999999995,0.999999995,0.999999995,1.0
baskets,20,Card6,4,0.999999995,0.999999995,0.999999995,1.0
baskets,20,Card7,1,0.5714285664540818,0.34285713789387756,0.5714285664540818,0.772368311882019
baskets,20,Card7,2,0.5714285665306124,0.285714281122449,0.5714285665306124,0.6780171990394592
baskets,20,Card7,3,0.22222221728395072,0.0,0.22222221728395072,0.6862313747406006
baskets,20,Card7,4,0.5999999952,0.22222221777777784,0.5999999952,0.8788322806358337
baskets,20,Card8,1,0.999999995,0.0,0.999999995,1.0
baskets,20,Card8,2,0.7999999952000001,0.6666666622222223,0.7999999952000001,0.7867581248283386
baskets,20,Card8,3,0.6666666622222223,0.0,0.6666666622222223,0.7233054041862488
baskets,20,Card8,4,0.999999995,0.0,0.999999995,1.0
baskets,20,Card9,1,0.588235289965398,0.3999999960888889,0.588235289965398,0.8251062035560608
baskets,20,Card9,2,0.6153846104142012,0.5454545404958678,0.6153846104142012,0.6876049041748047
baskets,20,Card9,3,0.24999999500000009,0.0,0.24999999500000009,0.8479853868484497
baskets,20,Card9,4,0.999999995,0.999999995,0.999999995,1.000000238418579
baskets,20,Card10,1,0.742857138057143,0.6060606012855833,0.742857138057143,0.8203977346420288
baskets,20,Card10,2,0.8235294068339101,0.7058823480103807,0.8235294068339101,0.8241270780563354
baskets,20,Card10,3,0.26666666275555556,0.0,0.26666666275555556,0.8169817328453064
baskets,20,Card10,4,0.6666666622222223,0.2857142816326531,0.6666666622222223,0.9480351209640503
baskets,23,Card1,1,0.5882352895501731,0.2666666622222223,0.5882352895501731,0.9371041655540466
baskets,23,Card1,2,0.4615384568047337,0.18181817719008275,0.4615384568047337,0.6148936152458191
baskets,23,Card1,3,0.5454545408264463,0.22222221777777784,0.5454545408264463,0.9080818891525269
baskets,23,Card1,4,0.14285714153061227,0.0,0.14285714153061227,0.42999643087387085
baskets,23,Card2,1,0.5624999951757813,0.30303029825528016,0.4999999951757813,0.7653713822364807
baskets,23,Card2,2,0.7999999952000001,0.7499999953125,0.7999999952000001,0.9571917653083801
baskets,23,Card2,3,0.7058823480968859,0.5333333285333334,0.7058823480968859,0.9501937627792358
baskets,23,Card2,4,0.9333333283555556,0.9230769181065088,0.9333333283555556,0.9877986311912537
baskets,23,Card3,1,0.7999999952000001,0.6956521691493385,0.7999999952000001,0.9448842406272888
baskets,23,Card3,2,0.5333333285333334,0.3076923029585799,0.5333333285333334,0.8052501082420349
