extractor,gpt_model,experiment,session_prefix,prompt_strategy,director_model,matcher_model,round,n_rows,n_sessions,accuracy_mean,accuracy_sd,turns_mean,turns_sd,words_mean,words_sd,re_words_mean,re_words_sd,mean_re_length_mean,mean_re_length_sd,relative_lexical_overlap_mean,relative_lexical_overlap_sd,jaccard_lexical_overlap_mean,jaccard_lexical_overlap_sd,extracted_objects_mean,extracted_objects_sd
deterministic,,Cameron,gpt5.2-cameron-cross-round-2,cameron-prompt,gpt-5.2,gpt-5.2,4,5,5,100.0,0.0,24.8,1.0954451150103321,397.0,51.07837115648854,133.8,21.695621678117455,11.15,1.8079684731764543,0.9426859863400785,0.04306070590063404,0.7980501594763104,0.09006554985074441,12.0,0.0
deterministic,,Cameron,gpt5.2-cameron-cross-round-2,cameron-prompt,gpt-5.2,gpt-5.2,5,5,5,93.33333333333333,14.907119849998603,25.2,1.7888543819998317,390.4,63.33087714535462,131.6,15.97811002590732,10.966666666666667,1.33150916882561,0.9568624988845578,0.04114644758585476,0.9073012906980299,0.07642494349187573,12.0,0.0
deterministic,,Cameron,gpt5.5-cameron-emnlp,cameron-prompt,gpt-5.5,gpt-5.5,1,5,5,95.0,7.453559924999296,25.2,1.0954451150103321,207.8,19.05780679931455,58.6,7.893034904268446,4.883333333333333,0.6577529086890372,1.0,0.0,0.0,0.0,12.0,0.0
deterministic,,Cameron,gpt5.5-cameron-emnlp,cameron-prompt,gpt-5.5,gpt-5.5,2,5,5,96.66666666666667,7.453559924999294,25.2,1.0954451150103321,180.6,19.462785001124583,40.6,4.827007354458868,3.3833333333333333,0.4022506128715724,0.9744444444444444,0.025994865352437585,0.6891865079365079,0.08062113699996144,12.0,0.0
deterministic,,Cameron,gpt5.5-cameron-emnlp,cameron-prompt,gpt-5.5,gpt-5.5,3,5,5,96.66666666666667,7.453559924999294,25.6,1.6733200530681511,179.0,31.874754901018456,35.4,5.504543577809154,2.95,0.4587119648174295,0.9222222222222222,0.16252077265140563,0.8075,0.13171983806830592,12.0,0.0
deterministic,,Cameron,gpt5.5-cameron-emnlp,cameron-prompt,gpt-5.5,gpt-5.5,4,5,5,96.66666666666667,7.453559924999294,25.2,1.0954451150103321,172.4,18.635986692418516,34.2,3.7682887362833544,2.85,0.3140240613569461,0.9263888888888889,0.16459944834373452,0.9030555555555555,0.2016052477638564,12.0,0.0
deterministic,,Cameron,gpt5.5-cameron-emnlp,cameron-prompt,gpt-5.5,gpt-5.5,5,5,5,96.66666666666667,7.453559924999294,25.2,1.0954451150103321,172.8,17.767948671695333,34.0,3.5355339059327378,2.8333333333333335,0.29462782549439476,1.0,0.0,0.9944444444444445,0.012422599874998788,12.0,0.0
deterministic,,Cameron,gpt5.5-cameron-emnlp-2,cameron-prompt,gpt-5.5,gpt-5.5,1,5,5,96.66666666666666,4.5643546458763895,26.0,0.0,202.0,11.640446726822816,59.0,3.391164991562634,4.916666666666667,0.2825970826302195,1.0,0.0,0.0,0.0,12.0,0.0
deterministic,,Cameron,gpt5.5-cameron-emnlp-2,cameron-prompt,gpt-5.5,gpt-5.5,2,5,5,96.66666666666666,4.5643546458763895,26.0,0.0,168.8,18.240065789355036,40.0,4.847679857416329,3.3333333333333335,0.4039733214513608,0.9516666666666667,0.037799728100139096,0.6450595238095238,0.1069352044186876,12.0,0.0
deterministic,,Cameron,gpt5.5-cameron-emnlp-2,cameron-prompt,gpt-5.5,gpt-5.5,3,5,5,98.33333333333333,3.726779962499654,26.0,0.0,151.8,24.833445189904683,33.2,7.5960516059331775,2.7666666666666666,0.6330043004944316,1.0,0.0,0.8630555555555556,0.11198269266627825,12.0,0.0
deterministic,,Cameron,gpt5.5-cameron-emnlp-2,cameron-prompt,gpt-5.5,gpt-5.5,4,5,5,98.33333333333333,3.726779962499654,26.0,0.0,149.6,22.952124084711638,31.8,6.340346993658943,2.65,0.5283622494715786,0.9958333333333333,0.00931694990624914,0.9605555555555556,0.04126659785789754,12.0,0.0
deterministic,,Cameron,gpt5.5-cameron-emnlp-2,cameron-prompt,gpt-5.5,gpt-5.5,5,5,5,98.33333333333333,3.726779962499654,26.0,0.0,148.2,22.554378732299412,31.4,6.06630035524124,2.6166666666666667,0.5055250296034367,1.0,0.0,0.9916666666666667,0.01863389981249823,12.0,0.0
