words,turns,utterances,words_per_round,words_per_turn,words_per_utterance,utterances_per_turn,utterances_per_round,turns_per_round,round_duration_seconds,avg_turn_duration_seconds,avg_utterance_duration_seconds,round_duration,avg_turn_duration,avg_utterance_duration,pair_id,round,accuracy
161,22,28,161,7.318181818181818,5.75,1.2727272727272727,28,22,395,3.590909090909091,14.62962962962963,00:06:35,00:00:03,00:00:14,knco59ak_hjrv83g6_pe41te3z,3,100.0
157,25,27,157,6.28,5.814814814814815,1.08,27,25,261,0.84,10.038461538461538,00:04:21,00:00:00,00:00:10,knco59ak_hjrv83g6_pe41te3z,4,100.0
426,37,49,426,11.513513513513514,8.693877551020408,1.3243243243243243,49,37,1370,14.45945945945946,28.541666666666668,00:22:50,00:00:14,00:00:28,knco59ak_lj9s0gp7_s46zmn1a,1,91.66666667
305,45,64,305,6.777777777777778,4.765625,1.4222222222222223,64,45,689,5.466666666666667,10.936507936507937,00:11:29,00:00:05,00:00:10,knco59ak_lj9s0gp7_s46zmn1a,2,100.0
159,29,34,159,5.482758620689655,4.676470588235294,1.1724137931034482,34,29,323,2.793103448275862,9.787878787878787,00:05:23,00:00:02,00:00:09,knco59ak_lj9s0gp7_s46zmn1a,3,100.0
96,30,33,96,3.2,2.909090909090909,1.1,33,30,238,1.3333333333333333,7.4375,00:03:58,00:00:01,00:00:07,knco59ak_lj9s0gp7_s46zmn1a,4,100.0
125,6,18,125,20.833333333333332,6.944444444444445,3.0,18,6,708,89.66666666666667,41.64705882352941,00:11:48,00:01:29,00:00:41,knco59ak_mzlq24zh_yilrr2uq,1,50.0
113,3,16,113,37.666666666666664,7.0625,5.333333333333333,16,3,491,154.66666666666666,32.733333333333334,00:08:11,00:02:34,00:00:32,knco59ak_mzlq24zh_yilrr2uq,2,41.66666667
92,2,14,92,46.0,6.571428571428571,7.0,14,2,469,188.5,36.07692307692308,00:07:49,00:03:08,00:00:36,knco59ak_mzlq24zh_yilrr2uq,3,25.0
220,18,44,220,12.222222222222221,5.0,2.4444444444444446,44,18,923,33.611111111111114,21.46511627906977,00:15:23,00:00:33,00:00:21,knco59ak_mzlq24zh_yilrr2uq,4,83.33333333
1772,125,195,1772,14.176,9.087179487179487,1.56,195,125,2543,7.624,13.108247422680412,00:42:23,00:00:07,00:00:13,knco59ak_no1rvlqs_q4b56tqw,1,100.0
665,66,109,665,10.075757575757576,6.10091743119266,1.6515151515151516,109,66,1040,6.212121212121212,9.62962962962963,00:17:20,00:00:06,00:00:09,knco59ak_no1rvlqs_q4b56tqw,2,100.0
516,66,106,516,7.818181818181818,4.867924528301887,1.606060606060606,106,66,726,3.287878787878788,6.914285714285715,00:12:06,00:00:03,00:00:06,knco59ak_no1rvlqs_q4b56tqw,3,100.0
1179,90,191,1179,13.1,6.172774869109948,2.1222222222222222,191,90,1464,6.722222222222222,7.705263157894737,00:24:24,00:00:06,00:00:07,knco59ak_no1rvlqs_q4b56tqw,4,100.0
911,97,133,911,9.391752577319588,6.849624060150376,1.3711340206185567,133,97,3160,8.268041237113403,23.939393939393938,00:52:40,00:00:08,00:00:23,knco59ak_oeqg6ep3_tgrya1jj,1,83.33333333
190,31,39,190,6.129032258064516,4.871794871794871,1.2580645161290323,39,31,681,4.419354838709677,17.92105263157895,00:11:21,00:00:04,00:00:17,knco59ak_oeqg6ep3_tgrya1jj,2,91.66666667
141,9,22,141,15.666666666666666,6.409090909090909,2.4444444444444446,22,9,591,27.77777777777778,28.142857142857142,00:09:51,00:00:27,00:00:28,knco59ak_oeqg6ep3_tgrya1jj,3,100.0
71,6,18,71,11.833333333333334,3.9444444444444446,3.0,18,6,336,32.166666666666664,19.764705882352942,00:05:36,00:00:32,00:00:19,knco59ak_oeqg6ep3_tgrya1jj,4,100.0
752,66,86,752,11.393939393939394,8.744186046511627,1.303030303030303,86,66,1388,5.333333333333333,16.32941176470588,00:23:08,00:00:05,00:00:16,knco59ak_p3z9x797_w6eqf2bc,1,100.0
374,49,56,374,7.63265306122449,6.678571428571429,1.1428571428571428,56,49,687,1.3265306122448979,12.49090909090909,00:11:27,00:00:01,00:00:12,knco59ak_p3z9x797_w6eqf2bc,2,100.0
189,36,42,189,5.25,4.5,1.1666666666666667,42,36,389,1.0277777777777777,9.487804878048781,00:06:29,00:00:01,00:00:09,knco59ak_p3z9x797_w6eqf2bc,3,100.0
152,31,37,152,4.903225806451613,4.108108108108108,1.1935483870967742,37,31,340,1.5161290322580645,9.444444444444445,00:05:40,00:00:01,00:00:09,knco59ak_p3z9x797_w6eqf2bc,4,100.0
796,49,70,796,16.244897959183675,11.371428571428572,1.4285714285714286,70,49,2078,13.448979591836734,30.115942028985508,00:34:38,00:00:13,00:00:30,oatjomyt_1mt2iezs_ksg9e819,1,41.66666667
652,56,67,652,11.642857142857142,9.73134328358209,1.1964285714285714,67,56,1801,5.75,27.28787878787879,00:30:01,00:00:05,00:00:27,oatjomyt_1mt2iezs_ksg9e819,2,91.66666667
457,34,46,457,13.441176470588236,9.934782608695652,1.3529411764705883,46,34,1053,6.882352941176471,23.4,00:17:33,00:00:06,00:00:23,oatjomyt_1mt2iezs_ksg9e819,3,100.0
347,33,38,347,10.515151515151516,9.131578947368421,1.1515151515151516,38,33,944,2.8484848484848486,25.513513513513512,00:15:44,00:00:02,00:00:25,oatjomyt_1mt2iezs_ksg9e819,4,41.66666667
578,31,40,578,18.64516129032258,14.45,1.2903225806451613,40,31,1294,7.870967741935484,33.17948717948718,00:21:34,00:00:07,00:00:33,oatjomyt_2q5yh4n2_jwt9eo1o,1,91.66666667
285,25,31,285,11.4,9.193548387096774,1.24,31,25,439,4.92,14.633333333333333,00:07:19,00:00:04,00:00:14,oatjomyt_2q5yh4n2_jwt9eo1o,2,100.0
172,25,26,172,6.88,6.615384615384615,1.04,26,25,209,0.28,8.36,00:03:29,00:00:00,00:00:08,oatjomyt_2q5yh4n2_jwt9eo1o,3,100.0
151,25,26,151,6.04,5.8076923076923075,1.04,26,25,172,0.6,6.88,00:02:52,00:00:00,00:00:06,oatjomyt_2q5yh4n2_jwt9eo1o,4,100.0
495,31,32,495,15.96774193548387,15.46875,1.032258064516129,32,31,1686,0.7741935483870968,54.38709677419355,00:28:06,00:00:00,00:00:54,oatjomyt_37w5v0l8_t1vlvnon,1,75.0
361,24,24,361,15.041666666666666,15.041666666666666,1.0,24,24,1186,0.0,51.56521739130435,00:19:46,00:00:00,00:00:51,oatjomyt_37w5v0l8_t1vlvnon,2,100.0
343,24,24,343,14.291666666666666,14.291666666666666,1.0,24,24,987,0.0,42.91304347826087,00:16:27,00:00:00,00:00:42,oatjomyt_37w5v0l8_t1vlvnon,3,91.66666667
269,24,24,269,11.208333333333334,11.208333333333334,1.0,24,24,782,0.0,34.0,00:13:02,00:00:00,00:00:34,oatjomyt_37w5v0l8_t1vlvnon,4,66.66666667
340,37,44,340,9.18918918918919,7.7272727272727275,1.1891891891891893,44,37,668,2.675675675675676,15.534883720930232,00:11:08,00:00:02,00:00:15,oatjomyt_6l7mq2vy_sver4gh9,1,91.66666667
217,32,35,217,6.78125,6.2,1.09375,35,32,368,0.5625,10.823529411764707,00:06:08,00:00:00,00:00:10,oatjomyt_6l7mq2vy_sver4gh9,2,100.0
104,28,30,104,3.7142857142857144,3.466666666666667,1.0714285714285714,30,28,254,0.6428571428571429,8.758620689655173,00:04:14,00:00:00,00:00:08,oatjomyt_6l7mq2vy_sver4gh9,3,100.0
65,26,27,65,2.5,2.4074074074074074,1.0384615384615385,27,26,168,0.34615384615384615,6.461538461538462,00:02:48,00:00:00,00:00:06,oatjomyt_6l7mq2vy_sver4gh9,4,100.0
